,file_list,spatial_coordinates,metadata
0,/arabian_horn_viper/00000.jpg,"[2,482,225,507,191]",{'1': '0'}
1,/arabian_horn_viper/00001.jpg,"[2,473,242,423,191]",{'1': '0'}
2,/arabian_horn_viper/00002.jpg,"[2,456,249,370,192]",{'1': '0'}
3,/arabian_horn_viper/00003.jpg,"[2,423,236,377,194]",{'1': '0'}
4,/arabian_horn_viper/00004.jpg,"[2,407,213,374,192]",{'1': '0'}
5,/arabian_horn_viper/00005.jpg,"[2,399,183,366,190]",{'1': '0'}
6,/arabian_horn_viper/00006.jpg,"[2,391,217,388,197]",{'1': '0'}
7,/arabian_horn_viper/00007.jpg,"[2,382,239,419,204]",{'1': '0'}
8,/arabian_horn_viper/00008.jpg,"[2,373,238,470,210]",{'1': '0'}
9,/arabian_horn_viper/00009.jpg,"[2,381,211,491,216]",{'1': '0'}
10,/arabian_horn_viper/00010.jpg,"[2,399,172,495,221]",{'1': '0'}
11,/arabian_horn_viper/00011.jpg,"[2,433,196,495,228]",{'1': '0'}
12,/arabian_horn_viper/00012.jpg,"[2,464,220,476,230]",{'1': '0'}
13,/arabian_horn_viper/00013.jpg,"[2,485,244,420,219]",{'1': '0'}
14,/arabian_horn_viper/00014.jpg,"[2,497,251,403,212]",{'1': '0'}
15,/arabian_horn_viper/00015.jpg,"[2,504,249,406,207]",{'1': '0'}
16,/arabian_horn_viper/00016.jpg,"[2,474,260,411,198]",{'1': '0'}
17,/arabian_horn_viper/00017.jpg,"[2,458,265,415,197]",{'1': '0'}
18,/arabian_horn_viper/00018.jpg,"[2,472,258,418,214]",{'1': '0'}
19,/arabian_horn_viper/00019.jpg,"[2,477,250,442,220]",{'1': '0'}
20,/arabian_horn_viper/00020.jpg,"[2,479,241,475,221]",{'1': '0'}
21,/arabian_horn_viper/00021.jpg,"[2,461,225,510,216]",{'1': '0'}
22,/arabian_horn_viper/00022.jpg,"[2,449,214,518,211]",{'1': '0'}
23,/arabian_horn_viper/00023.jpg,"[2,452,212,470,205]",{'1': '0'}
24,/arabian_horn_viper/00024.jpg,"[2,461,213,457,203]",{'1': '0'}
25,/arabian_horn_viper/00025.jpg,"[2,473,215,462,203]",{'1': '0'}
26,/arabian_horn_viper/00026.jpg,"[2,447,270,461,200]",{'1': '0'}
27,/arabian_horn_viper/00027.jpg,"[2,441,308,452,199]",{'1': '0'}
28,/arabian_horn_viper/00028.jpg,"[2,475,311,429,203]",{'1': '0'}
29,/arabian_horn_viper/00029.jpg,"[2,486,320,435,211]",{'1': '0'}
30,/arabian_horn_viper/00030.jpg,"[2,486,332,455,221]",{'1': '0'}
31,/arabian_horn_viper/00031.jpg,"[2,502,353,453,231]",{'1': '0'}
32,/arabian_horn_viper/00032.jpg,"[2,511,364,463,240]",{'1': '0'}
33,/arabian_horn_viper/00033.jpg,"[2,508,355,494,248]",{'1': '0'}
34,/arabian_horn_viper/00034.jpg,"[2,508,343,497,254]",{'1': '0'}
35,/arabian_horn_viper/00035.jpg,"[2,510,331,486,257]",{'1': '0'}
36,/arabian_horn_viper/00036.jpg,"[2,499,312,443,250]",{'1': '0'}
37,/arabian_horn_viper/00037.jpg,"[2,495,296,416,239]",{'1': '0'}
38,/arabian_horn_viper/00038.jpg,"[2,506,285,417,219]",{'1': '0'}
39,/arabian_horn_viper/00039.jpg,"[2,532,250,440,232]",{'1': '0'}
40,/arabian_horn_viper/00040.jpg,"[2,566,202,473,264]",{'1': '0'}
41,/arabian_horn_viper/00041.jpg,"[2,513,199,493,297]",{'1': '0'}
42,/arabian_horn_viper/00042.jpg,"[2,476,209,510,322]",{'1': '0'}
43,/arabian_horn_viper/00043.jpg,"[2,474,244,520,334]",{'1': '0'}
44,/arabian_horn_viper/00044.jpg,"[2,498,293,510,336]",{'1': '0'}
45,/arabian_horn_viper/00045.jpg,"[2,535,347,490,336]",{'1': '0'}
